Year,Game,Screenshot,Palette
2025,Black Desert,screenshots\sc6vrt.jpg,"[(215, 179, 138), (26, 19, 14), (119, 88, 66), (77, 56, 41), (89, 86, 77), (160, 70, 29), (133, 136, 133), (146, 148, 137), (79, 76, 76)]"
2025,Black Desert,screenshots\sc6vrn.jpg,"[(46, 53, 47), (218, 227, 232), (139, 135, 118), (161, 182, 202), (123, 146, 176), (101, 100, 81), (91, 106, 126), (110, 126, 135), (180, 148, 121)]"
2025,Black Desert,screenshots\sc6vrq.jpg,"[(229, 186, 164), (53, 43, 39), (163, 122, 105), (185, 166, 149), (113, 86, 70), (124, 122, 125), (111, 103, 111), (152, 151, 165), (207, 76, 65)]"
2025,Star Wars: Episode I - Jedi Power Battles,screenshots\vc5jyt9cmptzxjg9pn59.jpg,"[(202, 201, 196), (38, 39, 40), (136, 134, 114), (144, 182, 179), (98, 126, 105), (123, 145, 178), (76, 90, 71), (98, 89, 71), (76, 94, 122)]"
2025,Star Wars: Episode I - Jedi Power Battles,screenshots\fokid0ibdia0c3qvyhgl.jpg,"[(84, 64, 46), (184, 157, 123), (142, 120, 89), (79, 93, 114), (111, 120, 108), (25, 18, 13), (83, 122, 159), (48, 19, 13), (153, 169, 176)]"
2025,Star Wars: Episode I - Jedi Power Battles,screenshots\scs8hq.jpg,"[(53, 42, 88), (201, 181, 178), (99, 104, 192), (40, 30, 33), (129, 105, 134), (89, 75, 155), (89, 155, 151), (92, 72, 111), (87, 109, 127)]"
2025,Cannon Spike,screenshots\scm6wa.jpg,"[(67, 63, 58), (167, 142, 123), (33, 21, 21), (109, 141, 126), (119, 85, 77), (129, 123, 124), (86, 102, 97), (24, 76, 59), (66, 102, 76)]"
2025,Cannon Spike,screenshots\scm6wb.jpg,"[(143, 96, 77), (8, 6, 6), (58, 137, 73), (81, 48, 40), (35, 65, 58), (40, 24, 22), (52, 61, 122), (24, 29, 23), (42, 44, 52)]"
2025,Cannon Spike,screenshots\scm6wc.jpg,"[(24, 25, 23), (149, 97, 72), (85, 64, 56), (58, 49, 43), (92, 125, 114), (64, 73, 67), (85, 93, 109), (43, 52, 46), (59, 57, 70)]"
2025,Aquapazza: Aquaplus Dream Match,screenshots\scugqb.jpg,"[(20, 40, 99), (210, 239, 241), (82, 195, 248), (40, 105, 219), (100, 104, 98), (146, 239, 248), (25, 165, 235), (115, 148, 158), (195, 86, 60)]"
2025,Aquapazza: Aquaplus Dream Match,screenshots\scugqc.jpg,"[(213, 223, 236), (115, 211, 235), (52, 103, 217), (45, 52, 80), (23, 42, 181), (136, 156, 212), (75, 167, 232), (65, 90, 136), (180, 76, 84)]"
2025,Aquapazza: Aquaplus Dream Match,screenshots\scugqd.jpg,"[(38, 60, 130), (220, 223, 236), (200, 142, 212), (121, 42, 51), (95, 111, 156), (153, 33, 125), (184, 99, 100), (37, 191, 245), (215, 70, 188)]"
2025,Aquapazza: Aquaplus Dream Match,screenshots\scugqe.jpg,"[(219, 188, 196), (50, 40, 72), (75, 102, 207), (81, 183, 223), (144, 85, 106), (56, 77, 153), (200, 53, 89), (102, 106, 103), (54, 20, 22)]"
2025,Aquapazza: Aquaplus Dream Match,screenshots\scugqf.jpg,"[(237, 203, 178), (47, 44, 78), (141, 72, 101), (199, 70, 89), (149, 167, 195), (57, 77, 148), (82, 105, 192), (22, 13, 23), (101, 102, 115)]"
2025,"I Have No Mouth, and I Must Scream",screenshots\fkpl1cfj0z8trcc2saao.jpg,"[(159, 116, 66), (6, 5, 4), (90, 51, 24), (58, 173, 109), (171, 215, 220), (10, 81, 95), (45, 18, 8), (7, 50, 78), (59, 101, 139)]"
